task,condition,questionId,time,choice,y,pred
amzbook,Conf.+Single,0,10.726040124893188,1,1,1
amzbook,Conf.+Single,1,15.733932971954346,0,0,0
amzbook,Conf.+Single,2,18.061006546020508,1,1,1
amzbook,Conf.+Single,3,18.125477075576782,0,0,1
amzbook,Conf.+Single,4,25.41605281829834,1,1,0
amzbook,Conf.+Single,5,15.382811307907104,0,0,0
amzbook,Conf.+Single,6,24.949486017227173,1,1,1
amzbook,Conf.+Single,7,12.272731065750122,1,1,1
amzbook,Conf.+Single,8,19.517003059387207,1,1,1
amzbook,Conf.+Single,9,16.268287420272827,0,0,0
amzbook,Conf.+Single,10,16.738579034805298,0,0,0
amzbook,Conf.+Single,11,14.976380825042725,1,1,1
amzbook,Conf.+Single,12,15.612274169921877,1,1,1
amzbook,Conf.+Single,13,13.106896877288818,0,0,0
amzbook,Conf.+Single,14,16.95914101600647,1,1,0
amzbook,Conf.+Single,15,29.36578059196472,0,1,0
amzbook,Conf.+Single,16,12.763681411743164,0,0,0
amzbook,Conf.+Single,17,12.527356386184692,0,0,0
amzbook,Conf.+Single,18,17.939077138900757,0,0,1
amzbook,Conf.+Single,19,13.952441930770874,1,1,1
amzbook,Conf.+Single,20,15.270811796188354,0,0,0
amzbook,Conf.+Single,21,35.810776233673096,1,1,1
amzbook,Conf.+Single,22,28.8313992023468,0,1,1
amzbook,Conf.+Single,23,8.471437215805054,1,1,1
amzbook,Conf.+Single,24,11.817248582839966,0,0,0
amzbook,Conf.+Single,25,62.47551798820496,0,0,1
amzbook,Conf.+Single,26,12.080971717834473,0,0,0
amzbook,Conf.+Single,27,22.96247148513794,1,1,0
amzbook,Conf.+Single,28,13.734080076217651,1,1,1
amzbook,Conf.+Single,29,10.853540658950806,1,1,1
amzbook,Conf.+Single,30,8.68137502670288,0,0,0
amzbook,Conf.+Single,31,12.872798681259155,1,1,1
amzbook,Conf.+Single,32,14.447890520095823,0,0,0
amzbook,Conf.+Single,33,42.22773814201355,1,1,1
amzbook,Conf.+Single,34,17.319206714630127,0,0,1
amzbook,Conf.+Single,35,16.145996809005737,0,0,0
amzbook,Conf.+Single,36,14.491133689880373,0,0,0
amzbook,Conf.+Single,37,12.713642120361328,1,1,1
amzbook,Conf.+Single,38,11.173861026763916,0,0,0
amzbook,Conf.+Single,39,13.069034576416016,1,1,1
amzbook,Conf.+Single,40,9.842453002929688,1,1,1
amzbook,Conf.+Single,41,10.583808183670044,0,0,0
amzbook,Conf.+Single,42,20.55536127090454,1,1,1
amzbook,Conf.+Single,43,12.639291286468506,1,1,1
amzbook,Conf.+Single,44,15.015754461288452,0,0,0
amzbook,Conf.+Single,45,24.448434829711918,0,0,0
amzbook,Conf.+Single,46,10.149004459381104,0,0,0
amzbook,Conf.+Single,47,7.712910890579224,0,0,0
amzbook,Conf.+Single,48,8.813377380371094,1,1,1
amzbook,Conf.+Single,49,10.510620594024658,0,0,0
amzbook,Conf.+Single,0,12.80595064163208,1,1,1
amzbook,Conf.+Single,1,110.26289463043211,0,0,0
amzbook,Conf.+Single,2,30.88802146911621,1,1,1
amzbook,Conf.+Single,3,85.82184505462646,1,0,1
amzbook,Conf.+Single,4,24.981337070465088,0,1,0
amzbook,Conf.+Single,5,21.77719759941101,0,0,0
amzbook,Conf.+Single,6,10.573293685913086,1,1,1
amzbook,Conf.+Single,7,10.056138038635254,1,1,1
amzbook,Conf.+Single,8,17.819451332092285,1,1,1
amzbook,Conf.+Single,9,25.874228715896606,0,0,0
amzbook,Conf.+Single,10,31.381474256515503,0,0,0
amzbook,Conf.+Single,11,8.454611539840698,1,1,1
amzbook,Conf.+Single,12,117.69677877426147,1,1,1
amzbook,Conf.+Single,13,11.421064138412476,0,0,0
amzbook,Conf.+Single,14,16.25959014892578,1,1,0
amzbook,Conf.+Single,15,27.40251922607422,1,1,0
amzbook,Conf.+Single,16,42.27183818817139,0,0,0
amzbook,Conf.+Single,17,20.77392578125,0,0,0
amzbook,Conf.+Single,18,64.20772123336792,0,0,1
amzbook,Conf.+Single,19,21.671290159225464,1,1,1
amzbook,Conf.+Single,20,54.49816799163818,0,0,0
amzbook,Conf.+Single,21,40.81065607070923,1,1,1
amzbook,Conf.+Single,22,101.85520100593568,1,1,1
